DEGREE,BRANCH,INSTITUTE,YEAR
Ph.D,Computer Science and Engineering,"Vel Tech Rangarajan Dr.Sakunthala R&D
Institute of Science and Technology
",2013
M.E,Computer Science and Engineering,Sathyabama Institute of Science and Technology ,2006
B.Tech,Information Technology,Priyadarshini Engineering College,2002
DEEE,Electrical and Electronics Engineering,Priyadarshini Polytecnic College,1999
