TITLE,SPONSORING AGENCY,AMOUNT,YEAR OF SANCTION,DURATION,RESPONSIBILITY (PI / CO PI),STATUS ( Completed / Ongoing)
"Exterior wall painting system
 assisted with wall climbing
 Robot.",Innovation and Entrepreneurship Development Center (IEDC),"Rs. 2,50,000",2018-2019,1 Year,PI,Completed
