AUTHOR,"BOOK NAME, EDITION",PUBLISHER,ISBN / ISSN NO,MONTH & YEAR,BOOK / BOOK CHAPTER
Dr. R. Geetha,Fundamentals of Nanoscience (Book),Noor Publishing,978-620-0-07700-4,2020-06-01,BOOK
Dr.R. Geetha,Precision manufacturing through cryogenic treatment: a case study,De Gruyter,10.1515/9783111335537-006,2023-04-01, BOOK CHAPTER
