AUTHORS,PAPER TITLE,JOURNAL NAME,DOI NUMBER,PAGE NO,VOL NO / ISSUE NO,MONTH & YEAR ,INDEXED IN SCI / SCOPUS 
Mr. Saravanan Mathialagan,Mechanical Behaviour of Light Weight Hybrid Metal Matrix Composites for compact Automobile Applications,SAE Technical paper series,-,-,-,2024-09-20,SCOPUS
Mr. Saravanan Mathialagan,Direct metal laser sintering to develop complex contours of AISIMG aluminium alloy,Surface Reviews and Letters,https://doi.org/10.1142/S0218625X24500963,1793-6667,-,2024-03-26,SCI
Mr. Saravanan Mathialagan,Effect of CNT Inclusion on the Thernmo-Mechanical Behaviour of Cu-Ni-Zn-Sn Nano Composite,Iranian Journal of Chemistry and Chemical Engineering,https://www.ijcce.ac.ir/article_705685.html,1021-9986,"Volume : 42, Issue : 11",2023-11-01,SCI
Mr. Saravanan Mathialagan,Influence of Graphene Oxide Nano Particle and Aluminum Powder on Mechanical and Thermal Behaviour of Carbon Fiber Epoxy Composite,Materials Today: Proceedings,https://doi.org/10.1016/j.matpr.2020.06.092,2358-2368,"Volume : 72, Issue : 4",2022-09-27,SCOPUS
Mr. Saravanan Mathialagan,Investigation on the machinability of TiN nano particulate reinforced magnesium matrix composite,Materials Today: Proceedings,https://doi.org/10.1016/j.matpr.2022.09.217,2281-2288,"Volume : 72, Issue : 4",2022-09-26,SCOPUS
Mr. Saravanan Mathialagan,Effect of fiber orientation on mechanical behavior of glass fiber reinforced polyethylene terephthalate foam sandwich composite,Materials Today: Proceedings,https://doi.org/10.1016/j.matpr.2022.03.623,624-628,"Volume : 62, Issue : 2",2022-04-04,SCOPUS
Mr. Saravanan Mathialagan,Multiple regression analysis on drilling performance of Al 2219 – SiCp metal matrix composite by Response surface Methodology (RSM) technique,Materials Today: Proceedings,https://doi.org/10.1016/j.matpr.2022.04.041,829-834,"Volume : 62, Issue : 2",2022-04-04,SCOPUS
Mr. Saravanan Mathialagan,Minimization of Green House Gases Emission and Fossil Fuel Usage using Cylinder De Activation Technique in Multi-Cylinder IC Engines,", International Journal for Scientific Research & Development",Paper ID: IJSRDV4I30865,1026-1030,"Volume : 4, Issue : 3",2016-06-01,Others
