DEGREE,BRANCH,INSTITUTE,YEAR
B.E.,Mechanical Engineering,"Thanthai Periyar Government Institute of Technology, Anna University, Vellore",2007
M.B.A,System,"Madras University, Chennai",2010
M.E,Computer Integrated Manufacturing,"College of Engineering, Anna University, Guindy, Chennai - 25",2013
(Ph.D),Composites for Thermal Insulators (Heating Elements),"DOME, College of Engineering, Anna University, Guindy, Chennai - 25",Pursuing
