AUTHORS,PAPER TITLE,CONFERENCE NAME,ORGANIZED BY,ISBN / ISSN NO,MONTH & YEAR
"S.Sumathi, Roselin","Glaucoma screening by the detection of blood vessels and optic cup to disc ratio
",2016 International Conference on Communication and Signal Processing (ICCSP),"Adhiprasakthi Engineering college, Melmaruvathur",978-1-5090-0396-9,2016-11-01
"S.Sumathi, A.Balajiganesh","Arrhythmia Detection and ECG Signal Analysis using Digital Filtering Techniques
", 2022 7th International Conference on Communication and Electronics Systems (ICCES),coimbatore,978-1-6654-9634-6,2022-07-01
