AUTHORS,PAPER TITLE,JOURNAL NAME,DOI NUMBER,PAGE NO,VOL NO / ISSUE NO,MONTH & YEAR ,INDEXED IN SCI / SCOPUS 
"S.Sumathi, K Narayanan, U Nandhini, J Ramyashri",Crack detection in armoured fighting vechicles using contourlet transform analysis,International Journal of Advancements in Research & Technology,,254-259," Volume 2, Issue4, ", April-2013,scopus
"Dr. A. Senthil Kumar,I.Manju, S.Sumathi, C.Preethi",Read/Write Stability Improvement of 8T Sram Cell Using Schmitt Trigger,International Journal of Scientific and Research Publications, ISSN 2250-3153,325-330," Volume 5, Issue 2", February 2015,scopus
"S.Sumathi, A.Balajiganesh",Secure healthcare monitoring of arrythmias in internet of things with deep learning and elgamal encryption,Journal of Intelligent & Fuzzy Systems,10.3233/JIFS-235885,1697-1712," Volume 46, Issue 1",2024-01-01 00:00:00,SCI
"S. Sumathi, P. Bhuvaneshwari, Harikrishnaveni V, Sangami .S.A, Shivanee
Bhuvaneshwari .N.",A Deep Learning based Advanced Gait Detection,Journal of Physics: Conference Series,10.1088/1742-6596/2325/1/012056,2024-01-13 00:00:00,,2022-05-01 00:00:00,scopus
"S.Sumathi, G.Meenakshi",Removing Water Droplets In Medical Images Using Textured Spectral Analysis,Journal Of Signal Processing,,," Volume 3, Issue 3",2018,
"S.Sumathi,R.Dhaya, R.Kandhavel",Susceptibility Gene Prediction in Hereditary Disease Retinoblastoma,International Journal of Advanced Engineering Research and Science (IJAERS),https://dx.doi.org/10.22161/ijaers.4.4.38,," Volume 4, Issue 4",2017-04-01 00:00:00,scopus
