TITLE,SPONSORING AGENCY,AMOUNT,YEAR OF SANCTION,DURATION,RESPONSIBILITY (PI / CO PI),STATUS ( Completed / Ongoing)
HMI Controller for Converting Older Machines to adapt newer Technologies,Innovation and Entrepreneurship Development Center (IEDC),"Rs. 2,00,000",2022 - 2023,1 Year,PI,Completed
