DEGREE,BRANCH,INSTITUTE,YEAR
Ph.D,Mechanical Engineering,Anna University,2021
M.E,Internal Combustion Engineering,"Velammal Engineering College, Chennai",2012
B.E,Mechanical Engineering,Sri Muthukumaran Institute of Technology,2010
