AUTHORS,PAPER TITLE,JOURNAL NAME,DOI NUMBER,PAGE NO,VOL NO / ISSUE NO,MONTH & YEAR ,INDEXED IN SCI / SCOPUS 
Dr. R. Geetha,Mechanical Behaviour of Light Weight Hybrid Metal Matrix Composites for compact Automobile Applications,SAE Technical paper series,-,-,-,2024-09-20,SCOPUS
Dr. R. Geetha,Direct metal laser sintering to develop complex contours of AISIMG aluminium alloy,Surface Reviews and Letters,https://doi.org/10.1142/S0218625X24500963,1793-6667,-,2024-03-26,SCI
Dr. R. Geetha,Effect of CNT Inclusion on the Thernmo-Mechanical Behaviour of Cu-Ni-Zn-Sn Nano Composite,Iranian Journal of Chemistry and Chemical Engineering,https://www.ijcce.ac.ir/article_705685.html,1021-9986,"Volume : 42, Issue : 11",2023-11-01,SCI
Dr. R. Geetha,Mechanical Behaviour of Cissus Quadrangularis / Basalt Fibre Reinforced Hybrid Bio Composite for Bone Implantations,Iranian Journal of Chemistry and Chemical Engineering,10.30492/IJCCE.2022.560033.5514,2160-2174,Volume : 42 Issue : 7,2023-07-01,SCI
Dr. R. Geetha,Experimental Studies on the Performance of Graphene Oxide Based Hybrid Nanopolymers for Bearing Applications,International Journal of Polymer Science,https://doi.org/10.1155/2022/2974237,01-11,Volume: 2022,2022-04-20,SCI
Dr. R. Geetha,Abrasive wear analysis on graphene oxide-based Hybrid Nano polymer composites,Surface Review and Letters.,http://dx.doi.org/10.1142/S0218625X18501561,1850156-1 to 1850156-7,"Volume : 26, Issue : 3",2018-03-14,SCI
Dr. R. Geetha,Analysis of wear behavior of graphene oxide — polyamide gears for engineering applications,Surface Review and Letters.,10.1142/S0218625X1850018X,01-11,"Volume : 25, Issue : 3",2017-04-20,SCI
Dr. R. Geetha,Comparative Investigations on the Mechanical and Tribological Properties of Glass Fibre Reinforced Thermoplastic and Blended Graphene-Oxide Hybrid Thermoplastic Nanocomposites,Applied Mechanics and Materials,https://doi.org/10.4028/www.scientific.net/AMM.591.85,85-88,Volume : 591,2014-07-18,SCOPUS
